年月,性別,前々月末日現在,出生,死亡,転入等,転出等,前月末日現在,増減
201909,女,10635,3,18,11,21,10610,-25
201910,男,9579,2,13,14,15,9567,-12
201910,女,10610,2,22,20,21,10589,-21
201911,男,9567,0,13,13,24,9543,-24
201911,女,10589,5,14,10,28,10562,-27
201912,男,9543,1,17,14,16,9525,-18
201912,女,10562,4,17,7,26,10530,-32
202001,男,9525,3,14,9,22,9501,-24
202001,女,10530,2,15,16,15,10518,-12
202002,男,9501,2,16,5,14,9478,-23
202002,女,10518,3,14,13,10,10510,-8
202003,男,9478,2,10,6,14,9462,-16
202003,女,10510,0,14,16,21,10491,-19
202004,男,9462,3,13,18,61,9409,-53
202004,女,10491,1,18,26,63,10437,-54
202005,男,9409,4,13,26,18,9408,-1
202005,女,10437,2,13,13,25,10414,-23
202006,男,9408,3,9,16,6,9412,4
202006,女,10414,3,12,4,13,10396,-18
202007,男,9412,4,15,8,21,9388,-24
202007,女,10396,4,13,11,17,10381,-15
202008,男,9388,6,8,13,29,9370,-18
202008,女,10381,3,14,14,30,10354,-27
202009,男,9370,3,7,10,10,9366,-4
202009,女,10354,5,18,6,20,10327,-27
202010,男,9366,1,11,6,19,9343,-23
202010,女,10327,7,8,7,22,10311,-16
202011,男,9343,2,20,7,10,9322,-21
202011,女,10311,0,14,10,13,10294,-17
202012,男,9322,2,10,19,10,9323,1
202012,女,10294,3,15,8,19,10271,-23
202101,男,9323,2,13,20,16,9316,-7
202101,女,10271,1,22,10,26,10234,-37
202102,男,9316,3,12,6,6,9307,-9
202102,女,10234,2,20,19,11,10224,-10
202103,男,9307,1,7,11,13,9299,-8
202103,女,10224,2,13,13,18,10208,-16
202104,男,9299,1,13,29,67,9249,-50
202104,女,10208,2,8,22,55,10169,-39
202105,男,9249,1,14,24,17,9243,-6
202105,女,10169,1,18,24,31,10145,-24
202106,男,9243,2,11,20,15,9239,-4
202106,女,10145,1,8,12,20,10130,-15
202107,男,9239,3,12,9,13,9225,-14
202107,女,10130,5,10,7,9,10123,-7
202108,男,9225,3,18,15,13,9212,-13
202108,女,10123,3,11,7,11,10111,-12
202109,男,9212,3,6,7,14,9202,-10
202109,女,10111,3,13,11,15,10097,-14
202110,男,9202,2,10,21,14,9201,-1
202110,女,10097,1,18,12,17,10075,-22
202111,男,9201,4,20,9,15,9179,-22
202111,女,10075,3,7,9,17,10063,-12
202112,男,9179,4,14,15,16,9168,-11
202112,女,10063,2,22,17,22,10038,-25
202201,男,9168,3,9,9,17,9154,-14
202201,女,10038,3,18,12,14,10021,-17
202202,男,9154,1,17,11,22,9127,-27
202202,女,10021,2,20,8,11,10000,-21
202203,男,9127,1,13,9,8,9116,-11
202203,女,10000,1,23,6,14,9970,-30
202204,男,9116,1,18,23,49,9073,-43
202204,女,9970,4,20,19,46,9927,-43
202205,男,9073,4,10,39,45,9061,-12
202205,女,9927,1,21,18,23,9902,-25
202206,男,9061,3,12,45,38,9059,-2
202206,女,9902,2,12,37,32,9897,-5
202207,男,9059,2,14,18,15,9050,-9
202207,女,9897,6,5,13,16,9895,-2
202208,男,9050,2,7,28,36,9037,-13
202208,女,9895,1,13,14,32,9865,-30
202209,男,9037,3,12,32,18,9042,5
202209,女,9865,0,10,34,23,9866,1
202210,男,9042,2,15,22,25,9026,-16
202210,女,9866,0,13,20,14,9859,-7
202211,男,9026,2,15,16,24,9005,-21
202211,女,9859,5,21,26,29,9840,-19
202212,男,9005,5,19,22,40,8973,-32
202212,女,9840,1,16,28,40,9813,-27
202301,男,8973,4,13,18,32,8950,-23
202301,女,9813,7,23,17,20,9794,-19
202302,男,8950,2,15,13,15,8935,-15
202302,女,9794,4,25,10,14,9769,-25
202303,男,8935,0,13,15,26,8911,-24
202303,女,9769,5,20,10,27,9737,-32
202304,男,8911,6,20,37,55,8879,-32
202304,女,9737,2,21,17,45,9690,-47
202305,男,8879,0,14,34,28,8871,-8
202305,女,9690,0,14,21,20,9677,-13
202306,男,8871,2,16,15,38,8834,-37
202306,女,9677,1,18,13,26,9647,-30
202307,男,8834,2,11,24,23,8826,-8
202307,女,9647,3,20,37,13,9654,7
202308,男,8826,5,13,24,21,8821,-5
202308,女,9654,6,20,15,38,9617,-37
202309,男,8821,3,9,17,19,8813,-8
202309,女,9617,2,16,9,25,9587,-30
202310,男,8813,0,18,20,27,8788,-25
202310,女,9587,0,12,5,17,9563,-24
202311,男,8788,3,24,23,15,8775,-13
202311,女,9563,0,17,13,19,9540,-23
202312,男,8775,3,25,24,27,8750,-25
202312,女,9540,2,16,11,20,9517,-23
202401,男,8750,2,15,19,19,8737,-13
202401,女,9517,2,10,20,11,9518,1
202402,男,8737,0,18,6,26,8699,-38
202402,女,9518,1,25,10,36,9468,-50
202403,男,8699,0,12,19,36,8670,-29
202403,女,9468,0,16,23,31,9444,-24
202404,男,8670,0,19,31,72,8610,-60
202404,女,9444,2,20,22,76,9372,-72
202405,男,8610,2,21,37,42,8586,-24
202405,女,9372,3,15,26,31,9355,-17
202406,男,8586,3,18,20,35,8556,-30
202406,女,9355,3,16,5,20,9327,-28
202407,男,8556,1,19,21,24,8535,-21
202407,女,9327,0,15,2,20,9294,-33
202408,男,8535,0,14,16,24,8513,-22
202408,女,9294,2,16,20,23,9277,-17
202409,男,8513,0,9,19,20,8503,-10
202409,女,9277,3,9,8,24,9255,-22
202410,男,8503,4,12,15,25,8485,-10
202410,女,9255,1,20,21,23,9234,-22
202411,男,8485,2,15,18,30,8460,-25
202411,女,9234,0,18,24,25,9215,-19
202412,男,8460,2,16,11,11,8446,-14
202412,女,9215,1,18,13,31,9180,-35
202501,男,8446,1,18,27,15,8441,-5
202501,女,9180,2,15,15,16,9166,-14
202502,男,8441,2,16,12,29,8410,-31
202502,女,9166,3,15,16,19,9151,-15
202503,男,8410,3,18,35,15,8415,5
202503,女,9151,3,23,20,22,9129,-22
202504,男,8415,1,14,46,72,8376,-39
202504,女,9129,3,14,22,45,9095,-34
202505,男,8376,3,14,30,36,8359,-17
202505,女,9095,1,24,17,30,9059,-36
202506,男,8359,2,11,27,25,8352,-7
202506,女,9059,0,13,8,20,9034,-25
202507,男,8352,3,16,30,33,8336,-16
202507,女,9034,3,10,21,34,9014,-20
202508,男,8336,2,12,28,38,8316,-20
202508,女,9014,0,11,42,35,9010,-4
202509,男,8316,0,10,13,28,8291,-25
202509,女,9010,1,14,8,54,8951,-59
202510,男,8291,1,15,38,28,8287,-4
202510,女,8951,2,16,28,31,8934,-17
202511,男,8287,3,5,23,22,8286,-1
202511,女,8934,0,11,11,38,8896,-38
202512,男,8286,0,13,18,14,8277,-9
202512,女,8896,2,12,8,14,8880,-16
